id;produto;comodo;status;preco_atual;cliques_anterior;cliques_atual;variacao_cliques;variacao_percentual;tendencia;score_venda;probabilidade_venda;acao_recomendada;preco_sugerido;motivo
"15";"Mesa de jantar com 6 cadeiras";"Sala";"Disponivel";"499";"39";"39";"0";"0.00%";"Estavel";"87";"Alta";"Manter preco e reforcar divulgacao";"499";"Alta probabilidade de venda. Evite desconto agora para preservar margem."
"19";"Geladeira Electrolux inox";"Cozinha";"Disponivel";"1590";"32";"33";"1";"3.13%";"Estavel";"75";"Alta";"Manter preco e reforcar divulgacao";"1590";"Alta probabilidade de venda. Evite desconto agora para preservar margem."
"16";"Smart TV LG 49"" UHD 4K";"Sala";"Disponivel";"1099";"32";"32";"0";"0.00%";"Estavel";"74";"Alta";"Melhorar anuncio e testar pequeno desconto";"1044";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"6";"Guarda-roupa 3 portas e 3 gavetas";"Dormitorio 2";"Disponivel";"1699";"18";"20";"2";"11.11%";"Crescendo";"67";"Media";"Manter preco";"1699";"O interesse esta crescendo. Melhor aguardar antes de conceder desconto."
"3";"Comoda 2,07m com gavetas e portas";"Suite";"Disponivel";"1299";"20";"20";"0";"0.00%";"Estavel";"62";"Media";"Melhorar anuncio e testar pequeno desconto";"1234";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"17";"Fogao Consul 4 bocas";"Cozinha";"Disponivel";"799";"15";"16";"1";"6.67%";"Estavel";"60";"Media";"Melhorar anuncio e testar pequeno desconto";"759";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"5";"Criado-mudo 4 gavetas";"Dormitorio 2";"Disponivel";"699";"15";"15";"0";"0.00%";"Estavel";"59";"Media";"Melhorar anuncio e testar pequeno desconto";"664";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"12";"Teclado sem fio Logitech K400 Plus";"Escritorio";"Disponivel";"99";"11";"11";"0";"0.00%";"Estavel";"58";"Media";"Melhorar anuncio e testar pequeno desconto";"94";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"11";"Teclado gamer HyperX Alloy MKW100";"Escritorio";"Disponivel";"149";"9";"9";"0";"0.00%";"Estavel";"56";"Media";"Melhorar anuncio e testar pequeno desconto";"142";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"7";"Comoda 4 gavetas e 1 porta";"Dormitorio 2";"Disponivel";"1299";"11";"11";"0";"0.00%";"Estavel";"52";"Media";"Melhorar anuncio e testar pequeno desconto";"1234";"Interesse medio. Um ajuste leve pode acelerar a conversao."
"13";"Rack classico com vidro";"Sala";"Disponivel";"1199";"6";"6";"0";"0.00%";"Estavel";"47";"Media";"Melhorar anuncio e testar pequeno desconto";"1139";"Interesse medio. Um ajuste leve pode acelerar a conversao."
