produto;cliques_anterior;cliques_atual;variacao_cliques;variacao_percentual;tendencia
"Mesa de jantar com 6 cadeiras";"39";"39";"0";"0.00%";"Estavel"
"Smart TV LG 49"" UHD 4K";"32";"32";"0";"0.00%";"Estavel"
"Geladeira Electrolux inox";"32";"33";"1";"3.13%";"Estavel"
"Comoda 2,07m com gavetas e portas";"20";"20";"0";"0.00%";"Estavel"
"Guarda-roupa 3 portas e 3 gavetas";"18";"20";"2";"11.11%";"Crescendo"
"Fogao Consul 4 bocas";"15";"16";"1";"6.67%";"Estavel"
"Criado-mudo 4 gavetas";"15";"15";"0";"0.00%";"Estavel"
"Comoda 4 gavetas e 1 porta";"11";"11";"0";"0.00%";"Estavel"
"Teclado sem fio Logitech K400 Plus";"11";"11";"0";"0.00%";"Estavel"
"Teclado gamer HyperX Alloy MKW100";"9";"9";"0";"0.00%";"Estavel"
"Rack classico com vidro";"6";"6";"0";"0.00%";"Estavel"
